Round,Client,Accuracy,Loss,Round_Avg_Acc,Round_Avg_Loss
1,Client_1,0.6565836298932385,0.6187340063556658,0.6565836298932385,0.6166051257123303
1,Client_2,0.6565836298932385,0.6144762450689947,0.6565836298932385,0.6166051257123303
2,Client_1,0.6966192170818505,0.5937054359828026,0.693950177935943,0.5896965433906406
2,Client_2,0.6912811387900356,0.5856876507984786,0.693950177935943,0.5896965433906406
3,Client_1,0.7126334519572953,0.5732064949235882,0.7273131672597865,0.5616274436809838
3,Client_2,0.7419928825622776,0.5500483924383794,0.7273131672597865,0.5616274436809838
4,Client_1,0.7419928825622776,0.529930607491965,0.7219750889679716,0.5431281541378048
4,Client_2,0.7019572953736655,0.5563257007836447,0.7219750889679716,0.5431281541378048
5,Client_1,0.7366548042704626,0.5286691264113498,0.7477758007117438,0.5134280062549055
5,Client_2,0.7588967971530249,0.49818688609846123,0.7477758007117438,0.5134280062549055
6,Client_1,0.7153024911032029,0.5726292133331299,0.7210854092526691,0.5576225367517234
6,Client_2,0.7268683274021354,0.5426158601703168,0.7210854092526691,0.5576225367517234
7,Client_1,0.7793594306049824,0.4701083648247227,0.7735765124555162,0.48560189872025594
7,Client_2,0.7677935943060499,0.5010954326157893,0.7735765124555162,0.48560189872025594
8,Client_1,0.7811387900355872,0.4676155424627121,0.791814946619217,0.4535240325215024
8,Client_2,0.802491103202847,0.43943252258029275,0.791814946619217,0.4535240325215024
9,Client_1,0.797153024911032,0.4432408822388836,0.8069395017793595,0.43803638866787703
9,Client_2,0.8167259786476868,0.4328318950968705,0.8069395017793595,0.43803638866787703
10,Client_1,0.8629893238434164,0.3291714017501505,0.8540925266903915,0.34781412615894847
10,Client_2,0.8451957295373665,0.3664568505677464,0.8540925266903915,0.34781412615894847
11,Client_1,0.8523131672597865,0.34723470834650605,0.8598754448398576,0.33215845405419103
11,Client_2,0.8674377224199287,0.317082199761876,0.8598754448398576,0.33215845405419103
12,Client_1,0.8407473309608541,0.3594865924098738,0.8354092526690391,0.3714607461915746
12,Client_2,0.8300711743772243,0.3834348999732754,0.8354092526690391,0.3714607461915746
13,Client_1,0.8727758007117437,0.2986192361740031,0.8741103202846975,0.3051734122305154
13,Client_2,0.8754448398576513,0.3117275882870277,0.8741103202846975,0.3051734122305154
14,Client_1,0.9083629893238434,0.27250178784025947,0.9052491103202847,0.27167829030667334
14,Client_2,0.902135231316726,0.27085479277308727,0.9052491103202847,0.27167829030667334
15,Client_1,0.9359430604982206,0.2083273557051221,0.925711743772242,0.23600012639345225
15,Client_2,0.9154804270462633,0.2636728970817824,0.925711743772242,0.23600012639345225
16,Client_1,0.9386120996441281,0.21878115763867878,0.9350533807829181,0.22694579999748074
16,Client_2,0.9314946619217082,0.2351104423562827,0.9350533807829181,0.22694579999748074
17,Client_1,0.9208185053380782,0.28254264489717756,0.9150355871886121,0.29162038784487393
17,Client_2,0.9092526690391459,0.3006981307925703,0.9150355871886121,0.29162038784487393
18,Client_1,0.943950177935943,0.21532851070483808,0.9408362989323843,0.2199376950643665
18,Client_2,0.9377224199288257,0.22454687942389492,0.9408362989323843,0.2199376950643665
19,Client_1,0.9341637010676158,0.2556638506595775,0.9386120996441281,0.2419471631747972
19,Client_2,0.9430604982206405,0.22823047569001698,0.9386120996441281,0.2419471631747972
20,Client_1,0.9430604982206405,0.21923758291052753,0.9386120996441281,0.24339451248429425
20,Client_2,0.9341637010676158,0.2675514420580609,0.9386120996441281,0.24339451248429425
